city,main_category,is_weekend,context_score,context_count
Abington,Thai,1,5.0,1
Affton,Shipping Centers,0,3.0,1
Alton,Public Services & Government,0,4.0,2
Ambler,Health & Medical,0,5.0,1
Ambler,Restaurants,1,4.0,1
Antioch,Restaurants,0,2.6666666666666665,3
Antioch,Shopping Centers,0,2.0,4
Antioch,Shopping Centers,1,2.0,2
Arabi,Food,0,4.0,1
Ardmore,American (Traditional),0,4.0,2
Ardmore,Automotive,0,5.0,1
Ardmore,Beauty & Spas,0,5.0,1
Ardmore,Car Dealers,0,4.0,1
Ardmore,Home Services,0,5.0,1
Ardmore,Indian,0,4.0,1
Ardmore,Italian,0,3.0,1
Ardmore,Italian,1,1.0,1
Ardmore,Nightlife,1,5.0,1
Ardmore,Pizza,0,4.8,5
Ardmore,Pizza,1,5.0,2
Ardmore,Restaurants,0,3.6666666666666665,18
Ardmore,Restaurants,1,3.5555555555555554,9
Ardmore,Sandwiches,0,4.0,1
Ardmore,Taxis,0,1.3333333333333333,3
Ashland City,American (New),1,3.0,1
Ashland City,Restaurants,0,3.0,1
Ashland City,Restaurants,1,5.0,1
Aston,American (Traditional),0,5.0,1
Aston,American (Traditional),1,5.0,1
Aston,Automotive,0,3.0,1
Aston,Nightlife,0,3.0,1
Aston,Nightlife,1,2.0,1
Aston,Restaurants,0,3.6666666666666665,3
Audubon,Barbeque,0,5.0,1
Audubon,Coffee & Tea,0,3.0,1
Audubon,Restaurants,0,2.0,1
Audubon,Restaurants,1,4.0,1
Avon,American (Traditional),0,2.0,1
Avon,Restaurants,0,3.5,4
Avon,Restaurants,1,4.0,2
Avon,Sandwiches,1,4.0,2
Avon,Vietnamese,0,4.333333333333333,6
Avondale,Diners,1,1.0,1
Bala Cynwyd,Caterers,0,1.0,1
Bala Cynwyd,Italian,0,2.6666666666666665,3
Bala Cynwyd,Italian,1,2.0,1
Bala Cynwyd,Juice Bars & Smoothies,0,3.4166666666666665,12
Bala Cynwyd,Juice Bars & Smoothies,1,3.25,4
Bala Cynwyd,Nightlife,0,4.0,2
Ballwin,Active Life,0,1.0,1
Ballwin,Cafes,0,4.0,3
Ballwin,Cafes,1,3.6666666666666665,3
Ballwin,Food,0,1.0,1
Ballwin,Japanese,0,3.0,2
Ballwin,Japanese,1,3.0,2
Ballwin,Restaurants,0,3.8333333333333335,6
Ballwin,Restaurants,1,5.0,1
Ballwin,Sandwiches,0,4.333333333333333,3
Beech Grove,Education,0,5.0,1
Belle Chasse,Japanese,0,4.0,1
Belle Chasse,Pizza,0,3.0,1
Belle Chasse,Restaurants,0,4.0,1
Belle Chasse,Restaurants,1,3.0,2
Belleville,Bars,0,4.0,1
Belleville,Bars,1,5.0,1
Bensalem,American (New),0,2.0,1
Bensalem,American (New),1,1.0,1
Bensalem,Bakeries,0,5.0,1
Bensalem,Bakeries,1,5.0,1
Bensalem,Buffets,0,3.5,2
Bensalem,Chinese,0,3.0,1
Bensalem,Japanese,0,4.0,3
Bensalem,Japanese,1,3.0,2
Bensalem,Pizza,0,5.0,1
Bensalem,Pizza,1,5.0,1
Bensalem,Restaurants,0,2.5,2
Bensalem,Restaurants,1,5.0,1
Bensalem,Sandwiches,0,5.0,1
Bensalem,Specialty Food,1,4.5,2
Bensalem,Steakhouses,0,3.6666666666666665,3
Bensalem,Transmission Repair,0,5.0,1
Bensalem,Transmission Repair,1,3.0,1
Berlin,Restaurants,1,4.0,1
Berwyn,Restaurants,0,3.75,4
Berwyn,Restaurants,1,5.0,1
Blackwood,Bars,0,2.0,1
Blackwood,Bars,1,3.0,1
Blackwood,Burgers,0,4.333333333333333,3
Blackwood,Burgers,1,4.0,1
Blue Bell,Farmers Market,0,4.0,2
Blue Bell,Food,0,4.5,2
Blue Bell,Home Services,0,1.0,1
Blue Bell,Home Services,1,1.0,1
Blue Bell,Nail Salons,0,5.0,1
Blue Bell,Nightlife,0,5.0,3
Blue Bell,Nightlife,1,3.0,1
Blue Bell,Thai,0,4.0,7
Blue Bell,Thai,1,4.0,3
Boise,American (New),0,4.0,1
Boise,American (Traditional),0,3.0,1
Boise,American (Traditional),1,3.0,2
Boise,Bars,0,4.5,2
Boise,Bars,1,4.0,1
Boise,Breakfast & Brunch,0,4.1,10
Boise,Breakfast & Brunch,1,2.5,2
Boise,Coffee & Tea,0,5.0,1
Boise,Event Planning & Services,0,4.0,1
Boise,Fashion,0,4.5,2
Boise,Fast Food,1,4.0,1
Boise,Food,0,4.666666666666667,3
Boise,Food Delivery Services,0,5.0,1
Boise,Hotels,1,4.0,1
Boise,Hotels & Travel,0,3.5,2
Boise,Jewelry,0,3.0,1
