business_id,name,city,state,main_category,business_avg_stars,review_count
e4Vwtrqf-wpJfwesgvdgxQ,Melt,New Orleans,LA,Sandwiches,4.0,32
MWmXGQ98KbRo3vsS5nZhMA,Anthony's at Paxon Hollow,Broomall,PA,Event Planning & Services,3.5,32
bbEXAEFr4RYHLlZ-HFssTA,The Original Habit Burger Grill,Goleta,CA,Fast Food,4.0,329
8QnuWGVNBhzyYXGSeRdi4g,Sweet Cece's,Nashville,TN,Food,3.5,17
EtKSTHV5Qx_Q7Aur9o4kQQ,Village Whiskey,Philadelphia,PA,Bars,4.0,1553
VJEzpfLs_Jnzgqh5A_FVTg,Jasmine Rice - Rittenhouse,Philadelphia,PA,Soup,3.5,307
TyOe_EcbyAWMmPgg_ILwHQ,Pep Boys,Broomall,PA,Auto Repair,2.5,68
oJ4ik-4PZe6gexxW-tSmsw,Broad Ripple Brewpub,Indianapolis,IN,Nightlife,3.5,378
6LCZLGa09Qifn6rG7-DNrg,Erawan Thai Cuisine,Philadelphia,PA,Thai,3.5,180
2GYg3liJ9-m6Z67L_4_BRQ,Weavers Way Co-Op,Philadelphia,PA,Pets,4.5,54
O8BBn8lry8lLoIFmChceGg,Just Pizza,Indianapolis,IN,Restaurants,3.5,20
jLerIZFpe25jOUf722qzBA,Il Posto Italian Cafe,New Orleans,LA,Coffee & Tea,4.0,120
3ZynJ94VpIdDlaArmEp2Rg,More Than Just Ice Cream,Philadelphia,PA,Food,3.5,239
b7V_5q22_eTeHlYzq1bpFw,Harbor Seafood & Oyster Bar,Kenner,LA,Seafood,4.0,954
iD25g7vUG3asELjXtMGF9w,Taqueria del Sol,Willow Grove,PA,Food,3.5,57
W7NxQw8UYFR0HLPrI08tvw,Chipotle Mexican Grill,Tucson,AZ,Restaurants,3.0,76
fGYnHzFr1z2kv7bPRW6VMA,Limoncello Ristorante & Caterers,West Chester,PA,Pizza,4.0,483
gGyqnAlpFrka_qzpO7j4lQ,Citizens Bank Park,Philadelphia,PA,Active Life,4.5,515
D4DZztR7vkbiED6txGUYFg,Red Kings 2 Restaurant,Philadelphia,PA,Nightlife,3.5,68
actDmpJyaQPnkds6knMdKA,The Green Project,New Orleans,LA,Hardware Stores,4.5,40
eMiN8nm70jjKg8izikVWDA,Chickie's & Pete's,Philadelphia,PA,Seafood,3.5,590
AzseSGgDC6bVtMPEYo1CNQ,Creole Creamery,New Orleans,LA,Food,4.5,921
pSmOH4a3HNNpYM82J5ycLA,The Pancake Pantry,Nashville,TN,Restaurants,4.0,2063
xruWHK8Z5N0JWyQubLHjgA,Potito's Italian American Pastries,Philadelphia,PA,Food,3.5,88
_aKr7POnacW_VizRKBpCiA,Blues City Deli,Saint Louis,MO,Delis,5.0,991
oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,Tampa,FL,Latin American,4.0,316
WLiqfxv_GhFFA5sm878a2w,Wei Asian Cafe,Tucson,AZ,Chinese,4.0,109
roc-xyyzN5b_nImb0NdRLQ,Earl of Sandwich,Philadelphia,PA,Restaurants,3.5,81
NdqATFd0JsFzEOD8Z8pa5w,Henry's Pub & Grill,Carmel,IN,American (Traditional),3.5,76
QcuTCSfnI6WqKpuDL_a0OA,Savory Spice Shop,St. Petersburg,FL,Food,5.0,53
2S_CEQYBbp8RO1bJm_1mng,The Saint,New Orleans,LA,Nightlife,4.0,114
h3aPn7WjxYMu_DJqXCUAjQ,Chick-fil-A,Valrico,FL,Restaurants,3.0,46
EDjEVzmoQVHzboFqC-M6Ew,Local Taco,Nashville,TN,Food,3.0,308
PpZqlVUAP2i8_hNfpQyKhg,Buckingham Pizza,Buckingham,PA,Restaurants,3.5,55
Jc6MxMyCLp4DMfN4C1t1aQ,Pepo's Cuban Cafe,St. Petersburg,FL,Cuban,4.0,135
fgTOJRkc703E4XRdcr5zRA,Chatime - Bubble Tea Cafe,Tucson,AZ,Cafes,3.5,182
0Kn5W22UmxOqPj2cjouFNA,Silver Mine Subs,Tucson,AZ,Restaurants,3.0,36
aOJdNN7IsxR7xy9H_bJuLQ,Pag's Wine Bar,Doylestown,PA,Food,3.5,26
eaDZlSuVS0EY67Ke6pRP6Q,Penang,Philadelphia,PA,Malaysian,3.5,1112
nFjk0xVI9fNiVN__5g-m8Q,Ichicoro Ane,Saint Petersburg,FL,Ramen,4.0,264
eS4billU3Yd9hoVUFfZFbA,Skyline Chili,Clearwater,FL,Hot Dogs,4.0,81
oLc7k78_YcDMnMCdbC-h1A,Lucy's Retired Surfers Bar & Restaurant,New Orleans,LA,American (Traditional),3.5,514
_D7QoWuQKMXk0mEE7r_Ftw,Chateau La VIn,Columbia,IL,Beer,5.0,13
gK9CdFaCXmHoW8aLfXiSqg,Tired Hands Fermentaria,Ardmore,PA,Restaurants,4.0,459
tQYOAfl33tmP4oWpfyRr6g,El Sabor Poblano,Philadelphia,PA,Mexican,3.5,56
iI090K0JMViyPPh7Viovrg,Germantown Pub,Nashville,TN,Chicken Wings,3.5,167
N9-NRK8PPvi73tduxoPKbA,AMC Plymouth Meeting Mall 12,Plymouth Meeting,PA,Arts & Entertainment,2.5,169
q72up2Av5yNNVPk7vdKg9w,The Egg & I,Carmel,IN,Cafes,3.0,133
k6XrnjX2TBM_nDzD_XA9NQ,Terrace Lounge,Reno,NV,Arts & Entertainment,3.5,84
9PCPV34KV1B_E3v1IUi4tQ,African Small Pot,Philadelphia,PA,Restaurants,4.0,49
yN6jZyG1G1FG_HCZQlJZ1g,City Barbeque,Fishers,IN,Restaurants,4.0,188
MMRRS6YhVRx_iN5-JhMRYg,Han Dynasty,Philadelphia,PA,Restaurants,4.0,783
eL4lyE7LNoXEMvpcJ8WNVw,Deep Sea Tasting Room,Santa Barbara,CA,Bars,4.0,472
J-ciDDEdIHMcChGIyKZnOg,Cake Life Bake Shop,Philadelphia,PA,Caterers,4.5,241
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,Korean,4.5,351
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,Tampa,FL,Irish Pub,4.5,39
ZnAr0AxYpEYK1ZHNc4fk7g,Tako Japanese Restaurant,Bensalem,PA,Japanese,4.0,181
T3muepcwD45gHLWcpaNNDQ,See's Candies Seasonal Location,Tampa,FL,Candy Stores,4.0,5
WW8WN8J89M3U4z1xP4MhnA,Bob Evans,Indianapolis,IN,Hotels & Travel,2.5,44
mUIBtlWNPD7sz3rGGWQ1RA,Kanella,Philadelphia,PA,Mediterranean,4.5,579
S3Kl763P-wKnDLFy0iirqA,Gateway Entertainment Centre,Edmonton,AB,Bars,2.5,43
uyQGW7kZKk90vEwGo8A7mA,Courtesy Hyundai Tampa,Tampa,FL,Auto Parts & Supplies,3.0,178
8-j10_I745ITrczbkfD-Pw,Desi Village Indian Cuisine,King Of Prussia,PA,Indian,3.0,148
i-tDq8zC7ZmSqSbg_7oddA,LA Smokehouse,New Orleans,LA,Barbeque,4.0,79
CHh0ZFrQcsk4boOItr2Zuw,Albertsons,Carpinteria,CA,Grocery,3.0,58
RPxrAiJ3krxtv-UQmt0RlQ,Orange Grove Family Practice,Tucson,AZ,Doctors,2.0,36
JhrvtLpCEQcYrZLbb6CZGw,Frist Art Museum Cafe,Nashville,TN,Sandwiches,4.0,16
cXAKeC-EgVChIxhS7fscmw,Ghini's French Caffe,Tucson,AZ,Restaurants,3.5,427
wa_bwyY57etHjtJ2Fw0E3g,Pita Jungle,Tucson,AZ,Vegetarian,3.5,464
kJpoduG3wdA35WzOF_T1Aw,Mexico Lindo,Pinellas Park,FL,Food,4.5,54
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,Carpinteria,CA,Restaurants,4.5,460
R-HCwu9UbasUudG1yTM1Ow,TD Banknorth,Philadelphia,PA,Financial Services,2.5,9
kGMDSF0YpNwJ-c2BN5yBpw,Dantes Ristorante Pizzeria,East Norriton,PA,Restaurants,4.0,23
0vCsslN-TYnDeOSNT4rIfg,Whole Foods Market,Carmel,IN,Food,3.5,44
cXSyVvOr9YRN9diDkaWs0Q,Honey's Sit-N-Eat,Philadelphia,PA,Southern,4.0,1396
L3V21nAe-CicW2bvtNWa0g,Mixx Japanese Cuisine and Noodle Bar,Philadelphia,PA,Sushi Bars,3.0,118
qdL-EbgoA7Gq_2u4e4YvLw,Harry's Blue Bell Taproom,Blue Bell,PA,Nightlife,4.5,131
lj-E32x9_FA7GmUrBGBEWg,Brio Italian Grille,St Louis,MO,Bars,3.5,366
DRnvSL_I8MLuTLhl6O4JBQ,Gennaro's Tomato PIE,Philadelphia,PA,Pizza,3.5,49
z680Aylt8wN2KAeFM1hy-A,Chatham Tap Mass. Ave.,Indianapolis,IN,Bars,4.0,427
F_wIC6i5y4zdQyp99R7PdQ,Blueberry Hill Pancake House,Indianapolis,IN,American (Traditional),3.5,101
gwNlSSV0hGgNgTqPprj4FQ,Fresh Cafe and Catering,Tucson,AZ,Coffee & Tea,4.0,43
t-bcEvAM8oE92tm9HBr7wQ,Petra Restaurant,Tampa,FL,Middle Eastern,4.0,160
kTLHh3e_59XZduNwydxuAw,Xfinity Store by Comcast,Philadelphia,PA,Security Systems,2.0,88
