alpha_svd,alpha_context,RMSE,MAE
0.0,1.0,1.1414711502265087,0.882365703133678
0.05,0.95,1.1441540063033144,0.9081051829710738
0.1,0.9,1.1625329794209203,0.9422405315517122
0.15,0.85,1.1958846102795626,0.985455939837658
0.2,0.8,1.2430042673806803,1.0358157280842837
0.25,0.75,1.3023984609598265,1.0920160114916295
0.3,0.7,1.372474563791741,1.1613129068670844
0.35,0.65,1.4516864813591797,1.2416175554993187
0.4,0.6,1.5386238613863765,1.3304150435787028
0.45,0.55,1.6320525935933905,1.4231746364905626
0.5,0.5,1.7309218597161353,1.5184767709606615
0.55,0.45,1.8343521568641825,1.6165566303400967
0.6,0.4,1.9416147200467588,1.7156978916449859
0.65,0.35,2.052108706080916,1.8184606588597447
0.7,0.3,2.165339487656564,1.9281682403192122
0.75,0.25,2.280899512647883,2.0407019626250644
0.8,0.2,2.3984521282591347,2.154655247438949
0.85,0.15,2.5177182469579584,2.268700884362437
0.9,0.1,2.638465513388455,2.382853507360292
0.95,0.05,2.7604995733338216,2.49703610326573
1.0,0.0,2.883657063205172,2.611237780955005
